FAFB,BANC,MCNS
720575940613583001,720575941633862331,10977
720575940635066975,720575941490932681,11143
720575940624879911,720575941477870913,11050
720575940639258613,720575941574947766,76431
720575940614495093,720575941520311223,130580
720575940620500417,720575941644708984,68759
720575940619495664,720575941599434281,107019
720575940622944461,720575941454554163,148122
720575940631621689,720575941577571417,123841
720575940612637554,720575941555160833,12994
720575940624832743,720575941633655739,12977
720575940624435128,720575941645286008,11952
720575940628059978,720575941574107643,11594
720575940617299131,720575941555414273,11991
720575940637136752,720575941603666617,555318
720575940616758322,720575941551975679,23477
720575940613804259,720575941537986275,11517
720575940609282825,720575941574984861,10376
720575940634545890,720575941435549582,10133
720575940640803200,720575941519202732,10459
720575940605758142,720575941449920605,10096
720575940640541091,720575941519327086,10463
720575940618112310,720575941496262855,11262
720575940629792732,720575941633855931,11292
720575940625585508,720575941412138095,10905
720575940631603281,720575941498871777,11400
720575940612347571,720575941626179978,529429
720575940631704716,720575941470432887,11523
720575940648633988,720575941515011907,521935
720575940660217729,720575941450502222,11531
720575940616908177,720575941568914164,10632
720575940623945404,720575941600820521,17569
720575940628599746,720575941352084784,188926
720575940631737005,720575941580077813,916996
720575940620356468,720575941670636967,216355
720575940631203896,720575941535058881,179786
720575940607637340,720575941611461706,118846
720575940632224031,720575941566178663,212945075
720575940625305884,720575941491418316,246941
720575940610375726,720575941508462686,76949
720575940638807485,720575941574980873,128233
720575940633353568,720575941530427595,289691
720575940648191609,720575941546419900,157068
720575940635159982,720575941480848803,113302
720575940623567945,720575941604106430,97032
720575940603871404,720575941461624208,675229879
720575940625852446,720575941490183113,246079
720575940614257986,720575941566241590,137788
720575940606001074,720575941489518133,742571852
720575940629350782,720575941534127704,105395
720575940633493660,720575941519401944,153817
720575940630176047,720575941536421603,63942
720575940628147718,720575941499191458,128352
720575940620059045,720575941496684513,81143
720575940649536377,720575941552554814,163698
720575940608383243,720575941644463736,106905
720575940630671890,720575941462683917,77367
720575940614742687,720575941391906052,48596
720575940621023041,720575941465670230,67000
720575940631062603,720575941476701236,41131
720575940632077127,720575941547378977,89442
720575940616162373,720575941392755094,54202
720575940616964766,720575941638205557,97181
720575940639069493,720575941546334132,112359
720575940619305808,720575941494930375,79950
720575940629277687,720575941528110980,148344
720575940630432932,720575941553173787,60471
720575940630477305,720575941498922146,156528
720575940632364717,720575941626202267,73197
720575940618184839,720575941410989227,94914
720575940632357284,720575941497776713,107516
720575940636769343,720575941531051723,158676
720575940637164260,720575941578690293,104983
720575940618182981,720575941442653098,122326
720575940619794512,720575941612703708,144230
720575940622067113,720575941528511876,149878
720575940631801631,720575941492156336,145869
720575940617452689,720575941414623772,147812
720575940631754527,720575941559303918,151277
720575940608768213,720575941515372025,131268
720575940610743282,720575941585532126,148989
